"","AcadYr","AcadTerm","DepartmentNameByCourseCode","Course number","CourseCode","SectionNumber","CourseTitle","ClassType","Instructor1Name","GradeACount","GradeBCount","GradeCCount","GradeDCount","GradeFCount","GradePCount","GradeNPCount","GradeWCount"
"74","2010-11","Fall","Biological Sciences",111,5555,"5","DEV & CELL BIO LAB","LAB","Hoffmann F.",9,12,3,0,0,0,0,0
"75","2010-11","Fall","Biological Sciences",111,5556,"6","DEV & CELL BIO LAB","LAB","Hoffmann F.",4,13,5,2,0,0,0,0
"76","2010-11","Fall","Biological Sciences",112,5851,"1","PHYSIOLOGY LAB","LAB","Hughes B.",6,10,8,0,0,0,0,0
"77","2010-11","Fall","Biological Sciences",112,5852,"2","PHYSIOLOGY LAB","LAB","Hughes B.",5,18,1,0,0,0,0,0
"78","2010-11","Fall","Biological Sciences",112,5853,"3","PHYSIOLOGY LAB","LAB","Hughes B.",5,13,6,0,0,0,0,0
"79","2010-11","Fall","Biological Sciences",112,5854,"4","PHYSIOLOGY LAB","LAB","Hughes B.",5,11,8,0,0,0,0,0
"80","2010-11","Fall","Biological Sciences",112,5855,"5","PHYSIOLOGY LAB","LAB","Hughes B.",6,10,6,2,0,0,0,0
"81","2010-11","Fall","Biological Sciences",112,5856,"6","PHYSIOLOGY LAB","LAB","Hughes B.",6,12,6,0,0,0,0,0
"82","2010-11","Fall","Biological Sciences",112,5857,"7","PHYSIOLOGY LAB","LAB","Hughes B.",6,11,7,0,0,0,0,0
"83","2010-11","Fall","Biological Sciences",112,5858,"8","PHYSIOLOGY LAB","LAB","Hughes B.",5,14,5,0,0,0,0,0
"84","2010-11","Fall","Biological Sciences",112,5859,"9","PHYSIOLOGY LAB","LAB","Hughes B.",5,14,5,0,0,0,0,0
"85","2010-11","Fall","Biological Sciences",112,5860,"10","PHYSIOLOGY LAB","LAB","Hughes B.",5,11,7,1,0,0,0,0
"86","2010-11","Fall","Biological Sciences",112,5861,"11","PHYSIOLOGY LAB","LAB","Hughes B.",6,11,7,0,0,0,0,0
"87","2010-11","Fall","Biological Sciences",112,5862,"12","PHYSIOLOGY LAB","LAB","Hughes B.",6,10,8,0,0,0,0,0
"88","2010-11","Fall","Biological Sciences",112,6200,"A","NEUROSCI FNDAMENTLS","LEC","La Ferla F.",22,11,0,0,0,0,0,0
"89","2010-11","Fall","Biological Sciences",114,5951,"1","BIOCHEMISTRY LAB","LAB","Cumsky M.",5,9,5,1,0,0,0,0
"90","2010-11","Fall","Biological Sciences",114,5952,"2","BIOCHEMISTRY LAB","LAB","Cumsky M.",7,4,9,1,0,0,0,0
"91","2010-11","Fall","Biological Sciences",114,5953,"3","BIOCHEMISTRY LAB","LAB","Cumsky M.",5,5,10,0,0,0,0,0
"92","2010-11","Fall","Biological Sciences",116,5971,"1","MOLECULAR BIO LAB","LAB","Herman L.",4,10,6,0,0,0,0,0
"93","2010-11","Fall","Biological Sciences",116,5972,"2","MOLECULAR BIO LAB","LAB","Herman L.",5,7,7,1,0,0,0,0
"94","2010-11","Fall","Biological Sciences",116,5973,"3","MOLECULAR BIO LAB","LAB","Herman L.",3,9,8,0,0,0,0,0
"95","2010-11","Fall","Biological Sciences",116,5974,"4","MOLECULAR BIO LAB","LAB","Herman L.",5,11,4,0,0,0,0,0
"96","2010-11","Fall","Biological Sciences",116,5975,"5","MOLECULAR BIO LAB","LAB","Herman L.",4,8,8,0,0,0,0,0
"97","2010-11","Fall","Biological Sciences",116,5976,"6","MOLECULAR BIO LAB","LAB","Herman L.",5,7,8,0,0,0,0,0
"98","2010-11","Fall","Biological Sciences",118,6000,"1","EXP MICROBIO LAB","LAB","Senear D.",2,14,4,0,0,0,0,0
"99","2010-11","Fall","Biological Sciences",118,6005,"2","EXP MICROBIO LAB","LAB","Senear D.",5,12,3,0,0,0,0,0
"100","2010-11","Fall","Biological Sciences",118,6010,"3","EXP MICROBIO LAB","LAB","Senear D.",1,13,6,0,0,0,0,0
"101","2010-11","Fall","Biological Sciences",118,6015,"4","EXP MICROBIO LAB","LAB","Senear D.",6,11,3,0,0,0,0,0
"102","2010-11","Fall","Biological Sciences",118,6020,"5","EXP MICROBIO LAB","LAB","Senear D.",7,11,2,0,0,0,0,0
